#CNS11643,Sinopac,Unicode,Unisys,Word
02-4945,588B,588B,E15E,墋
02-4946,587A,587A,E15F,塺
02-4947,5887,5887,E160,墇
02-494A,5876,5876,E163,塶
02-494D,587B,587B,E166,塻
02-494F,588F,588F,E168,墏
02-4950,58FE,58FE,E169,壾
02-4951,596B,596B,E16A,奫
02-4953,5AEE,5AEE,E16C,嫮
02-4954,5AE5,5AE5,E16D,嫥
02-4958,5AED,5AED,E171,嫭
02-4959,5AEB,5AEB,E172,嫫
02-495C,5AE0,5AE0,E175,嫠
02-495E,5AEC,5AEC,E177,嫬
02-4960,5ADD,5ADD,E179,嫝
02-4961,5AD9,5AD9,E17A,嫙
02-4962,5AE8,5AE8,E17B,嫨
02-4963,5ADF,5ADF,E17C,嫟
02-4964,5B77,5B77,E17D,孷
02-4965,5BE0,5BE0,E17E,寠
02-496A,5D7D,5D7D,E1A5,嵽
02-496C,5D7A,5D7A,E1A7,嵺
02-4970,5D89,5D89,E1AB,嶉
02-4971,5D88,5D88,E1AC,嶈
02-4972,5D7E,5D7E,E1AD,嵾
02-4973,5D7C,5D7C,E1AE,嵼
02-4974,5D8D,5D8D,E1AF,嶍
02-4975,5D79,5D79,E1B0,嵹
02-497A,5ED8,5ED8,E1B5,廘
02-497C,5ED7,5ED7,E1B7,廗
02-497D,5ECE,5ECE,E1B8,廎
02-4A21,5ED5,5ED5,E1BA,廕
02-4A23,5ED2,5ED2,E1BC,廒
02-4A24,5ED4,5ED4,E1BD,廔
02-4A25,5F44,5F44,E1BE,彄
02-4A26,5F43,5F43,E1BF,彃
02-4A28,5FB6,5FB6,E1C1,徶
02-4A2A,6128,6128,E1C3,愨
02-4A2B,6141,6141,E1C4,慁
02-4A2D,6171,6171,E1C6,慱
02-4A2E,6173,6173,E1C7,慳
02-4A2F,6152,6152,E1C8,慒
02-4A30,6153,6153,E1C9,慓
02-4A31,6172,6172,E1CA,慲
02-4A33,6180,6180,E1CC,憀
02-4A34,6174,6174,E1CD,慴
02-4A35,6154,6154,E1CE,慔
02-4A36,617A,617A,E1CF,慺
02-4A38,6165,6165,E1D1,慥
02-4A3A,616A,616A,E1D3,慪
02-4A3B,6161,6161,E1D4,慡
02-4A3D,6229,6229,E1D6,戩
02-4A3E,6227,6227,E1D7,戧
02-4A3F,622B,622B,E1D8,戫
02-4A40,642B,642B,E1D9,搫
02-4A44,6474,6474,E1DD,摴
02-4A45,6476,6476,E1DE,摶
02-4A46,6472,6472,E1DF,摲
02-4A48,647D,647D,E1E1,摽
02-4A4D,6482,6482,E1E6,撂
02-4A4E,645E,645E,E1E7,摞
02-4A4F,645C,645C,E1E8,摜
02-4A51,6453,6453,E1EA,摓
02-4A52,6460,6460,E1EB,摠
02-4A53,6450,6450,E1EC,摐
02-4A56,646C,646C,E1EF,摬
02-4A57,646B,646B,E1F0,摫
02-4A58,6459,6459,E1F1,摙
02-4A59,6465,6465,E1F2,摥
02-4A5A,6477,6477,E1F3,摷
02-4A5B,6573,6573,E1F4,敳
02-4A5C,65A0,65A0,E1F5,斠
02-4A5D,66A1,66A1,E1F6,暡
02-4A5E,66A0,66A0,E1F7,暠
02-4A61,6704,6704,E1FA,朄
02-4A63,69B1,69B1,E1FC,榱
02-4A65,69C9,69C9,E1FE,槉
02-4A66,69A0,69A0,E240,榠
02-4A68,6996,6996,E242,榖
02-4A69,69B0,69B0,E243,榰
02-4A6A,69AC,69AC,E244,榬
02-4A6B,69BC,69BC,E245,榼
02-4A6C,6991,6991,E246,榑
02-4A6D,6999,6999,E247,榙
02-4A6E,698E,698E,E248,榎
02-4A6F,69A7,69A7,E249,榧
02-4A70,698D,698D,E24A,榍
02-4A71,69A9,69A9,E24B,榩
01-7133,6FA0,6FA0,BF49,澠
01-7134,6FB4,6FB4,BF4A,澴
01-7136,71C9,71C9,BF4C,燉
01-7138,71D2,71D2,BF4E,燒
01-713A,71D5,71D5,BF50,燕
01-713B,71B9,71B9,BF51,熹
01-713D,71D9,71D9,BF53,燙
01-713E,71DC,71DC,BF54,燜
01-713F,71C3,71C3,BF55,燃
01-7140,71C4,71C4,BF56,燄
01-7141,7368,7368,BF57,獨
01-7145,749F,749F,BF5B,璟
01-7147,74E2,74E2,BF5D,瓢
01-7149,750D,750D,BF5F,甍
01-714C,763A,763A,BF62,瘺
01-7150,779E,779E,BF66,瞞
01-7153,78E8,78E8,BF69,磨
01-7154,78DA,78DA,BF6A,磚
01-7156,78E7,78E7,BF6C,磧
01-7157,79A6,79A6,BF6D,禦
01-7158,7A4D,7A4D,BF6E,積
01-715A,7A46,7A46,BF70,穆
01-715B,7A4C,7A4C,BF71,穌
01-715D,7ABA,7ABA,BF73,窺
01-715E,7BD9,7BD9,BF74,篙
01-715F,7C11,7C11,BF75,簑
01-7160,7BC9,7BC9,BF76,築
01-7161,7BE4,7BE4,BF77,篤
01-7163,7BE1,7BE1,BF79,篡
01-7164,7BE9,7BE9,BF7A,篩
01-7166,7CD5,7CD5,BF7C,糕
01-7167,7CD6,7CD6,BF7D,糖
01-7168,7E0A,7E0A,BF7E,縊
01-716A,7E08,7E08,BFA2,縈
01-716B,7E1B,7E1B,BFA3,縛
01-716D,7E1E,7E1E,BFA5,縞
01-716F,7E09,7E09,BFA7,縉
01-7171,7F79,7F79,BFA9,罹
01-7175,7FEE,7FEE,BFAD,翮
01-7179,81A8,81A8,BFB1,膨
01-717C,8258,8258,BFB4,艘
01-7221,8559,8559,BFB7,蕙
01-7222,8548,8548,BFB8,蕈
01-7223,8568,8568,BFB9,蕨
01-7224,8569,8569,BFBA,蕩
01-7227,856D,856D,BFBD,蕭
01-7229,855E,855E,BFBF,蕞
01-722C,879E,879E,BFC2,螞
01-7232,8925,8925,BFC8,褥
01-7234,8921,8921,BFCA,褡
01-7235,89AA,89AA,BFCB,親
01-7236,89A6,89A6,BFCC,覦
01-723B,8B00,8B00,BFD1,謀
01-723E,8AEE,8AEE,BFD4,諮
01-723F,8AFE,8AFE,BFD5,諾
01-7240,8B01,8B01,BFD6,謁
01-7241,8B02,8B02,BFD7,謂
01-7243,8AED,8AED,BFD9,諭
01-7247,8C6B,8C6B,BFDD,豫
01-7248,8C6D,8C6D,BFDE,豭
01-7249,8C93,8C93,BFDF,貓
01-724A,8CF4,8CF4,BFE0,賴
01-724C,8E31,8E31,BFE2,踱
01-724D,8E34,8E34,BFE3,踴
01-7250,8E35,8E35,BFE6,踵
01-7251,8F3B,8F3B,BFE7,輻
01-7255,8FA8,8FA8,BFEB,辨
01-7256,8FA6,8FA6,BFEC,辦
01-7258,9074,9074,BFEE,遴
01-725A,9072,9072,BFF0,遲
01-725D,9134,9134,BFF3,鄴
01-7260,9336,9336,BFF6,錶
01-7261,92F8,92F8,BFF7,鋸
01-7265,92FC,92FC,BFFB,鋼
01-7266,932B,932B,BFFC,錫
01-7267,9304,9304,BFFD,錄
01-7268,931A,931A,BFFE,錚
01-7269,9310,9310,C040,錐
01-726A,9326,9326,C041,錦
01-726C,9315,9315,C043,錕
01-726D,932E,932E,C044,錮
01-7271,96A8,96A8,C048,隨
01-7272,96AA,96AA,C049,險
01-7273,96D5,96D5,C04A,雕
01-7274,970E,970E,C04B,霎
01-7277,970D,970D,C04E,霍
01-7279,970F,970F,C050,霏
01-727B,975C,975C,C052,靜
01-727C,9766,9766,C053,靦
01-727E,9830,9830,C055,頰
01-7321,9838,9838,C056,頸
01-7323,9837,9837,C058,頷
01-7325,9839,9839,C05A,頹
01-7326,9824,9824,C05B,頤
01-7328,9928,9928,C05D,館
01-7332,9AFB,9AFB,C067,髻
01-7334,9B28,9B28,C069,鬨
01-7337,9D23,9D23,C06C,鴣
01-7339,9D28,9D28,C06E,鴨
01-733A,9D12,9D12,C06F,鴒
01-733B,9D1B,9D1B,C070,鴛
02-4A73,69AF,69AF,E24D,榯
02-4A75,69C4,69C4,E24F,槄
02-4A76,69BD,69BD,E250,榽
02-4A78,69D4,69D4,E252,槔
02-4A7A,69CA,69CA,E254,槊
02-4A7B,699A,699A,E255,榚
02-4A7D,69B3,69B3,E257,榳
02-4A7E,6993,6993,E258,榓
02-4B24,69D9,69D9,E25C,槙
02-4B25,6997,6997,E25D,榗
02-4B26,6990,6990,E25E,榐
02-4B28,69B5,69B5,E260,榵
02-4B2F,6B9F,6B9F,E267,殟
02-4B30,6BA0,6BA0,E268,殠
02-4B34,6ECE,6ECE,E26C,滎
02-4B35,6EF5,6EF5,E26D,滵
02-4B36,6EF1,6EF1,E26E,滱
02-4B38,6F25,6F25,E270,漥
02-4B3F,6F19,6F19,E277,漙
02-4B40,6F1A,6F1A,E278,漚
02-4B44,6F12,6F12,E27C,漒
02-4B45,6EED,6EED,E27D,滭
02-4B48,6F73,6F73,E2A2,潳
02-4B4C,6F40,6F40,E2A6,潀
02-4B4F,6F35,6F35,E2A9,漵
02-4B51,6F07,6F07,E2AB,漇
02-4B52,6F0E,6F0E,E2AC,漎
02-4B53,6F43,6F43,E2AD,潃
02-4B56,6EF6,6EF6,E2B0,滶
02-4B57,6F39,6F39,E2B1,漹
02-4B59,6EFC,6EFC,E2B3,滼
02-4B5A,6F3A,6F3A,E2B4,漺
02-4B5B,6F1F,6F1F,E2B5,漟
02-4B5D,6F1E,6F1E,E2B7,漞
02-4B5E,6F08,6F08,E2B8,漈
02-4B60,7187,7187,E2BA,熇
02-4B63,7180,7180,E2BD,熀
02-4B64,7185,7185,E2BE,熅
02-4B66,718F,718F,E2C0,熏
02-4B68,7186,7186,E2C2,熆
02-4B6F,7293,7293,E2C9,犓
02-4B70,7343,7343,E2CA,獃
02-4B74,7462,7462,E2CE,瑢
02-4B76,7471,7471,E2D0,瑱
02-4B78,7472,7472,E2D2,瑲
02-4C23,7608,7608,E2DB,瘈
02-4C27,760A,760A,E2DF,瘊
02-4C28,7614,7614,E2E0,瘔
02-4C2A,7781,7781,E2E2,瞁
02-4C2B,777C,777C,E2E3,睼
02-4C2C,7785,7785,E2E4,瞅
02-4C2F,7780,7780,E2E7,瞀
02-4C30,776F,776F,E2E8,睯
02-4C33,78B2,78B2,E2EB,碲
02-4C37,78A8,78A8,E2EF,碨
02-4C38,787E,787E,E2F0,硾
02-4C3A,789E,789E,E2F2,碞
02-4C3B,78A5,78A5,E2F3,碥
02-4C3C,78A0,78A0,E2F4,碠
02-4C3F,78A4,78A4,E2F7,碤
02-4C40,7998,7998,E2F8,禘
02-4C47,7997,7997,E340,禗
02-4C48,7988,7988,E341,禈
02-4C4C,7A4A,7A4A,E345,穊
02-4C4F,7A28,7A28,E348,稨
02-4C51,7AA8,7AA8,E34A,窨
02-4C52,7AAB,7AAB,E34B,窫
02-4C53,7AAC,7AAC,E34C,窬
02-4C54,7AEE,7AEE,E34D,竮
02-4C55,7B88,7B88,E34E,箈
02-4C56,7B9C,7B9C,E34F,箜
02-4C58,7B91,7B91,E351,箑
02-4C59,7B90,7B90,E352,箐
02-4C5A,7B96,7B96,E353,箖
02-4C5B,7B8D,7B8D,E354,箍
02-4C5D,7B9B,7B9B,E356,箛
02-4C5E,7B8E,7B8E,E357,箎
02-4C63,7BA4,7BA4,E35C,箤
02-4C65,7CBB,7CBB,E35E,粻
02-4C67,7CBC,7CBC,E360,粼
02-4C68,7CBA,7CBA,E361,粺
02-4C69,7DA7,7DA7,E362,綧
02-4C6A,7DB7,7DB7,E363,綷
02-4C6B,7DC2,7DC2,E364,緂
02-4C6F,7DC0,7DC0,E368,緀
02-4C70,7DC5,7DC5,E369,緅
02-4C73,7DC4,7DC4,E36C,緄
02-4C77,7DAF,7DAF,E370,綯
02-4C78,7DB9,7DB9,E371,綹
02-4C7A,7DBC,7DBC,E373,綼
02-4C7B,7D9F,7D9F,E374,綟
02-4D21,7DA1,7DA1,E378,綡
02-4D23,7F73,7F73,E37A,罳
02-4D24,7FE2,7FE2,E37B,翢
02-4D26,7FE5,7FE5,E37D,翥
02-4D27,7FDE,7FDE,E37E,翞
02-4D28,8024,8024,E3A1,耤
02-4D2B,8189,8189,E3A4,膉
02-4D2C,8186,8186,E3A5,膆
02-4D2E,8187,8187,E3A7,膇
02-4D2F,818D,818D,E3A8,膍
02-4D30,818C,818C,E3A9,膌
02-4D31,818B,818B,E3AA,膋
02-4D33,8497,8497,E3AC,蒗
02-4D34,84A4,84A4,E3AD,蒤
02-4D36,849F,849F,E3AF,蒟
02-4D37,84BA,84BA,E3B0,蒺
02-4D38,84CE,84CE,E3B1,蓎
02-4D3B,84AE,84AE,E3B4,蒮
02-4D3C,84AB,84AB,E3B5,蒫
02-4D3E,84B4,84B4,E3B7,蒴
02-4D3F,84C1,84C1,E3B8,蓁
02-4D40,84CD,84CD,E3B9,蓍
02-4D41,84AA,84AA,E3BA,蒪
02-4D43,84B1,84B1,E3BC,蒱
02-4D44,84D0,84D0,E3BD,蓐
02-4D46,84A7,84A7,E3BF,蒧
02-4D47,84BB,84BB,E3C0,蒻
02-4D48,84A2,84A2,E3C1,蒢
02-4D4B,84CC,84CC,E3C4,蓌
02-4D4C,849B,849B,E3C5,蒛
02-4D4E,84AF,84AF,E3C7,蒯
02-4D4F,84A8,84A8,E3C8,蒨
02-4D52,84B6,84B6,E3CB,蒶
02-4D55,84D7,84D7,E3CE,蓗
02-4D59,84B0,84B0,E3D2,蒰
02-4D5A,8491,8491,E3D3,蒑
02-4D5C,8733,8733,E3D5,蜳
02-4D5D,8723,8723,E3D6,蜣
02-4D60,8740,8740,E3D9,蝀
02-4D61,872E,872E,E3DA,蜮
02-4D63,8721,8721,E3DC,蜡
02-4D64,8719,8719,E3DD,蜙
02-4D67,872C,872C,E3E0,蜬
02-4D68,8741,8741,E3E1,蝁
02-4D69,873E,873E,E3E2,蜾
02-4D6A,8746,8746,E3E3,蝆
02-4D6B,8720,8720,E3E4,蜠
02-4D6C,8732,8732,E3E5,蜲
02-4D6D,872A,872A,E3E6,蜪
02-4D6E,872D,872D,E3E7,蜭
02-4D70,8712,8712,E3E9,蜒
02-4D71,873A,873A,E3EA,蜺
02-4D73,8735,8735,E3EC,蜵
02-4D74,8742,8742,E3ED,蝂
02-4D77,8738,8738,E3F0,蜸
02-4D78,8724,8724,E3F1,蜤
02-4D7B,8711,8711,E3F4,蜑
02-4D7C,88F7,88F7,E3F5,裷
02-4D7E,88F1,88F1,E3F7,裱
02-4E24,88EE,88EE,E3FB,裮
02-4E25,88FC,88FC,E3FC,裼
02-4E26,88F6,88F6,E3FD,裶
02-4E30,89EB,89EB,E448,觫
02-4E34,8A8B,8A8B,E44C,誋
02-4E35,8A92,8A92,E44D,誒
02-4E36,8A8F,8A8F,E44E,誏
02-4E40,8E02,8E02,E458,踂
02-4E45,8E03,8E03,E45D,踃
02-4E46,8E07,8E07,E45E,踇
02-4E4A,8E00,8E00,E462,踀
02-4E4B,8E04,8E04,E463,踄
02-4E4F,8F0D,8F0D,E467,輍
02-4E50,9123,9123,E468,鄣
02-4E51,911C,911C,E469,鄜
02-4E52,9120,9120,E46A,鄠
02-4E53,9122,9122,E46B,鄢
02-4E54,911F,911F,E46C,鄟
02-4E57,9124,9124,E46F,鄤
02-4E58,9121,9121,E470,鄡
02-4E59,911B,911B,E471,鄛
02-4E5C,9179,9179,E474,酹
02-4E5D,9173,9173,E475,酳
02-4E5E,92A5,92A5,E476,銥
02-4E60,9276,9276,E478,鉶
02-4E62,927A,927A,E47A,鉺
02-4E64,9294,9294,E47C,銔
02-4E65,92AA,92AA,E47D,銪
02-4E67,92A6,92A6,E4A1,銦
02-4E69,92AB,92AB,E4A3,銫
02-4E70,9282,9282,E4AA,銂
02-4E74,9288,9288,E4AE,銈
02-4E75,92A1,92A1,E4AF,銡
02-4F21,928B,928B,E4B9,銋
02-4F22,922D,922D,E4BA,鈭
02-4F23,969E,969E,E4BB,隞
02-4F24,96A1,96A1,E4BC,隡
02-4F25,96FF,96FF,E4BD,雿
02-4F29,977E,977E,E4C1,靾
02-4F2A,9783,9783,E4C2,鞃
02-4F2C,9782,9782,E4C4,鞂
02-4F2D,977B,977B,E4C5,靻
02-4F2E,9784,9784,E4C6,鞄
02-4F2F,9781,9781,E4C7,鞁
02-4F31,97CE,97CE,E4C9,韎
02-4F32,97CD,97CD,E4CA,韍
02-4F33,9816,9816,E4CB,頖
02-4F34,98AD,98AD,E4CC,颭
02-4F35,98AE,98AE,E4CD,颮
02-4F39,999D,999D,E4D1,馝
02-4F3A,999C,999C,E4D2,馜
02-4F3C,99B9,99B9,E4D4,馹
02-4F3D,99BB,99BB,E4D5,馻
02-4F3E,99BA,99BA,E4D6,馺
02-4F3F,99C2,99C2,E4D7,駂
02-4F41,99C7,99C7,E4D9,駇
02-4F43,9AE3,9AE3,E4DB,髣
02-4F44,9AE7,9AE7,E4DC,髧
02-4F45,9B3E,9B3E,E4DD,鬾
02-4F48,9B61,9B61,E4E0,魡
02-4F49,9B5F,9B5F,E4E1,魟
02-4F4A,9CF1,9CF1,E4E2,鳱
02-4F4C,9CF5,9CF5,E4E4,鳵
02-4F4E,50FF,50FF,E4E6,僿
02-4F4F,5103,5103,E4E7,儃
02-4F50,5130,5130,E4E8,儰
02-4F52,5106,5106,E4EA,儆
02-4F56,510B,510B,E4EE,儋
02-4F57,510C,510C,E4EF,儌
02-4F5D,52EF,52EF,E4F5,勯
02-4F60,564C,564C,E4F8,噌
02-4F61,5635,5635,E4F9,嘵
02-4F62,5641,5641,E4FA,噁
02-4F65,5646,5646,E4FD,噆
02-4F6C,563E,563E,E545,嘾
02-4F6D,5638,5638,E546,嘸
02-4F6E,562A,562A,E547,嘪
02-4F70,571A,571A,E549,圚
02-4F71,58AB,58AB,E54A,墫
02-4F72,589D,589D,E54B,墝
02-4F73,58B1,58B1,E54C,墱
02-4F74,58A0,58A0,E54D,墠
02-4F75,58A3,58A3,E54E,墣
02-4F79,58A1,58A1,E552,墡
02-4F7A,58FF,58FF,E553,壿
02-4F7C,5AF4,5AF4,E555,嫴
02-4F7D,5AFD,5AFD,E556,嫽
02-4F7E,5AF7,5AF7,E557,嫷
02-5022,5B03,5B03,E559,嬃
02-5023,5AF8,5AF8,E55A,嫸
02-5026,5B01,5B01,E55D,嬁
02-5027,5B07,5B07,E55E,嬇
02-5029,5B0F,5B0F,E560,嬏
02-502B,5D99,5D99,E562,嶙
02-502E,5D92,5D92,E565,嶒
02-502F,5DA2,5DA2,E566,嶢
02-5033,5D9C,5D9C,E56A,嶜
02-5036,5D9E,5D9E,E56D,嶞
02-5037,5E69,5E69,E56E,幩
02-5039,5E60,5E60,E570,幠
02-503F,5F49,5F49,E576,彉
02-5041,618B,618B,E578,憋
02-5043,6179,6179,E57A,慹
02-5044,61B1,61B1,E57B,憱
02-5045,61B0,61B0,E57C,憰
02-504A,61AF,61AF,E5A3,憯
02-504C,619F,619F,E5A5,憟
02-504D,6192,6192,E5A6,憒
02-5050,618D,618D,E5A9,憍
02-5052,61B3,61B3,E5AB,憳
02-5054,646E,646E,E5AD,摮
02-5056,6496,6496,E5AF,撖
02-5057,64A0,64A0,E5B0,撠
02-5058,6485,6485,E5B1,撅
02-505B,648F,648F,E5B4,撏
02-505E,648C,648C,E5B7,撌
02-505F,64A3,64A3,E5B8,撣
02-5061,6468,6468,E5BA,摨
02-5063,6498,6498,E5BC,撘
02-5066,6579,6579,E5BF,敹
02-5067,657B,657B,E5C0,敻
02-5069,65B3,65B3,E5C2,斳
02-506C,66A9,66A9,E5C5,暩
02-506F,66AA,66AA,E5C8,暪
02-5071,6A00,6A00,E5CA,樀
02-5073,6A17,6A17,E5CC,樗
02-5074,69E5,69E5,E5CD,槥
02-5075,69F8,69F8,E5CE,槸
02-507A,69FF,69FF,E5D3,槿
02-507C,69E2,69E2,E5D5,槢
02-507D,6A1B,6A1B,E5D6,樛
02-5122,6A27,6A27,E5D9,樧
02-5123,69F2,69F2,E5DA,槲
02-5124,69EE,69EE,E5DB,槮
02-5125,6A14,6A14,E5DC,樔
02-5127,69E7,69E7,E5DE,槧
02-512A,69E6,69E6,E5E1,槦
02-512B,69FB,69FB,E5E2,槻
02-512C,6A0D,6A0D,E5E3,樍
02-512D,69FC,69FC,E5E4,槼
02-512E,69EB,69EB,E5E5,槫
02-5130,6A04,6A04,E5E7,樄
02-5132,6A25,6A25,E5E9,樥
02-5133,6A0F,6A0F,E5EA,樏
02-5134,69F6,69F6,E5EB,槶
02-5135,6A26,6A26,E5EC,樦
02-5137,69F4,69F4,E5EE,槴
02-5139,6B51,6B51,E5F0,歑
02-513A,6BA5,6BA5,E5F1,殥
02-513B,6BA3,6BA3,E5F2,殣
02-513C,6BA2,6BA2,E5F3,殢
02-513D,6BA6,6BA6,E5F4,殦
02-513E,6C01,6C01,E5F5,氁
01-733D,9ED4,9ED4,C072,黔
01-733E,9F8D,9F8D,C073,龍
01-733F,9F9C,9F9C,C074,龜
01-7340,512A,512A,C075,優
01-7341,511F,511F,C076,償
01-7343,5132,5132,C078,儲
01-7345,568E,568E,C07A,嚎
01-7346,5680,5680,C07B,嚀
01-7347,5690,5690,C07C,嚐
01-7348,5685,5685,C07D,嚅
01-734C,58D3,58D3,C0A3,壓
01-7350,5B2A,5B2A,C0A7,嬪
01-7352,5B7A,5B7A,C0A9,孺
01-7354,5C68,5C68,C0AB,屨
01-7355,5DBC,5DBC,C0AC,嶼
01-7356,5DBA,5DBA,C0AD,嶺
01-7357,5DBD,5DBD,C0AE,嶽
01-7359,5E6B,5E6B,C0B0,幫
01-735A,5F4C,5F4C,C0B1,彌
01-735B,5FBD,5FBD,C0B2,徽
01-735C,61C9,61C9,C0B3,應
01-735E,61C7,61C7,C0B5,懇
01-7360,61CB,61CB,C0B7,懋
01-7362,6234,6234,C0B9,戴
01-7364,64CA,64CA,C0BB,擊
01-7365,64D8,64D8,C0BC,擘
01-7366,64E0,64E0,C0BD,擠
01-7367,64F0,64F0,C0BE,擰
01-736A,64F1,64F1,C0C1,擱
01-736B,64E2,64E2,C0C2,擢
01-736C,64ED,64ED,C0C3,擭
01-736E,6583,6583,C0C5,斃
01-7371,6A80,6A80,C0C8,檀
01-7373,6A84,6A84,C0CA,檄
01-7375,6A9C,6A9C,C0CC,檜
01-7376,6ADB,6ADB,C0CD,櫛
01-7378,6A7E,6A7E,C0CF,橾
01-7421,6C08,6C08,C0D6,氈
01-7424,6FDF,6FDF,C0D9,濟
01-7429,6FEF,6FEF,C0DE,濯
01-742A,6F80,6F80,C0DF,澀
01-742B,6FEC,6FEC,C0E0,濬
01-742C,6FE1,6FE1,C0E1,濡
01-742D,6FE9,6FE9,C0E2,濩
01-7430,6FF0,6FF0,C0E5,濰
01-7432,71DF,71DF,C0E7,營
01-7433,71EE,71EE,C0E8,燮
01-7435,71E5,71E5,C0EA,燥
01-7436,71ED,71ED,C0EB,燭
01-7438,71F4,71F4,C0ED,燴
01-743A,7235,7235,C0EF,爵
01-743B,7246,7246,C0F0,牆
01-743D,7372,7372,C0F2,獲
01-743E,74A9,74A9,C0F3,璩
01-743F,74B0,74B0,C0F4,環
01-7441,74A8,74A8,C0F6,璨
01-7444,764C,764C,C0F9,癌
01-7447,77AA,77AA,C0FC,瞪
01-7449,77AC,77AC,C0FE,瞬
01-744C,77EF,77EF,C142,矯
01-744F,78F4,78F4,C145,磴
01-7452,79A7,79A7,C148,禧
01-7455,7ABF,7ABF,C14B,窿
01-7456,7C07,7C07,C14C,簇
01-7457,7C0D,7C0D,C14D,簍
01-745C,7CE0,7CE0,C152,糠
01-745E,7CDE,7CDE,C154,糞
01-745F,7CE2,7CE2,C155,糢
01-7462,7CDD,7CDD,C158,糝
01-7464,7E3E,7E3E,C15A,績
01-7465,7E46,7E46,C15B,繆
01-7466,7E37,7E37,C15C,縷
01-7467,7E32,7E32,C15D,縲
01-7469,7E2B,7E2B,C15F,縫
01-746C,7E45,7E45,C162,繅
01-746F,7E39,7E39,C165,縹
01-7471,7E35,7E35,C167,縵
01-7473,7E2F,7E2F,C169,縯
01-7474,7F44,7F44,C16A,罄
01-7478,8072,8072,C16E,聲
01-7479,8070,8070,C16F,聰
01-747A,806F,806F,C170,聯
01-747B,8073,8073,C171,聳
01-747D,81C3,81C3,C173,臃
01-7521,81C2,81C2,C175,臂
01-7522,81C0,81C0,C176,臀
01-7524,81BD,81BD,C178,膽
01-7526,81BE,81BE,C17A,膾
01-7527,81E8,81E8,C17B,臨
01-7529,8271,8271,C17D,艱
01-752A,85AA,85AA,C17E,薪
01-752C,857E,857E,C1A2,蕾
01-752D,859C,859C,C1A3,薜
01-752F,8594,8594,C1A5,薔
01-7532,8587,8587,C1A8,薇
01-7533,85A8,85A8,C1A9,薨
01-7535,85A6,85A6,C2CB,薦
01-753B,87C6,87C6,C1B0,蟆
01-753E,87BA,87BA,C1B3,螺
01-7540,87CB,87CB,C1B5,蟋
01-7541,893B,893B,C1B6,褻
02-5141,6C02,6C02,E5F8,氂
02-5143,6F26,6F26,E5FA,漦
02-5146,6FC6,6FC6,E5FD,濆
02-5147,6F92,6F92,E5FE,澒
02-5148,6F8D,6F8D,E640,澍
02-5149,6F89,6F89,E641,澉
02-5152,6F82,6F82,E64A,澂
02-5154,6F72,6F72,E64C,潲
02-5155,6F52,6F52,E64D,潒
02-515A,6F5D,6F5D,E652,潝
02-515B,6F00,6F00,E653,漀
02-515D,6F6B,6F6B,E655,潫
02-515E,6F7D,6F7D,E656,潽
02-515F,6F67,6F67,E657,潧
02-5160,6F90,6F90,E658,澐
02-5163,6F69,6F69,E65B,潩
02-5165,6F95,6F95,E65D,澕
02-5167,6F77,6F77,E65F,潷
02-5169,6F7B,6F7B,E661,潻
02-516A,71B2,71B2,E662,熲
02-516B,71AF,71AF,E663,熯
02-516C,719B,719B,E664,熛
02-516D,71B0,71B0,E665,熰
02-516E,71A0,71A0,E666,熠
02-5171,71B5,71B5,E669,熵
02-5173,71A5,71A5,E66B,熥
02-5176,71A1,71A1,E66E,熡
02-5177,71AA,71AA,E66F,熪
02-5178,719C,719C,E670,熜
02-5179,71A7,71A7,E671,熧
02-5223,7360,7360,E679,獠
02-5225,735B,735B,E67B,獛
02-5226,7361,7361,E67C,獡
02-5227,735A,735A,E67D,獚
02-5229,7362,7362,E6A1,獢
02-522A,7487,7487,E6A2,璇
02-522B,7489,7489,E6A3,璉
02-522D,7486,7486,E6A5,璆
02-522E,7481,7481,E6A6,璁
02-5230,7485,7485,E6A8,璅
02-5235,7507,7507,E6AD,甇
02-5236,757E,757E,E6AE,畾
02-5237,7625,7625,E6AF,瘥
02-5239,7619,7619,E6B1,瘙
02-523A,761D,761D,E6B2,瘝
02-523B,761C,761C,E6B3,瘜
02-523D,761A,761A,E6B5,瘚
02-523E,7628,7628,E6B6,瘨
02-5242,769E,769E,E6BA,皞
02-5244,778D,778D,E6BC,瞍
02-5246,7789,7789,E6BE,瞉
02-5248,78CD,78CD,E6C0,磍
02-5249,78BB,78BB,E6C1,碻
02-524F,78C8,78C8,E6C7,磈
02-5251,78C4,78C4,E6C9,磄
02-5253,799A,799A,E6CB,禚
02-5255,79A0,79A0,E6CD,禠
02-5257,79A2,79A2,E6CF,禢
02-525A,7A39,7A39,E6D2,稹
02-525C,7AB4,7AB4,E6D4,窴
02-5260,7BBE,7BBE,E6D8,箾
02-5262,7BCE,7BCE,E6DA,篎
02-5265,7BCA,7BCA,E6DD,篊
02-5266,7BB5,7BB5,E6DE,箵
02-5267,7CC5,7CC5,E6DF,糅
02-5269,7CCC,7CCC,E6E1,糌
02-526A,7CCB,7CCB,E6E2,糋
02-526B,7DF7,7DF7,E6E3,緷
02-526D,7DEA,7DEA,E6E5,緪
02-526E,7DE7,7DE7,E6E6,緧
02-526F,7DD7,7DD7,E6E7,緗
02-5272,7DFA,7DFA,E6EA,緺
02-5274,7DF6,7DF6,E6EC,緶
